title,singer,bilibili_url,bvid,page,start_seconds,end_seconds,duration_seconds,cover_url
路过人间,郁可唯,https://www.bilibili.com/video/BV1pr6aYiE97/?p=74,BV1pr6aYiE97,74,,,247,https://i0.hdslb.com/bfs/storyff/n241229sa1xe7itglrbhjs74dgv2ssql_firsti.jpg
想你时风起,单依纯,https://www.bilibili.com/video/BV1pr6aYiE97/?p=75,BV1pr6aYiE97,75,,,277,https://i2.hdslb.com/bfs/storyff/n241229sa3bs3gijh3x8xv33b70fd9mg_firsti.jpg
追光者,岑宁儿,https://www.bilibili.com/video/BV1pr6aYiE97/?p=76,BV1pr6aYiE97,76,,,237,https://i2.hdslb.com/bfs/storyff/n241229sa1h281mjwny7s01quc0xk24n_firsti.jpg
记事本,陈慧琳,https://www.bilibili.com/video/BV1pr6aYiE97/?p=77,BV1pr6aYiE97,77,,,254,https://i0.hdslb.com/bfs/storyff/n241229sa29w00jhs6vw6y39anmlbzgw_firsti.jpg
独角戏,许茹芸,https://www.bilibili.com/video/BV1pr6aYiE97/?p=78,BV1pr6aYiE97,78,,,278,https://i0.hdslb.com/bfs/storyff/n241229sa2npfrzuk82wsl276et3fxlp_firsti.jpg
飘摇,周迅,https://www.bilibili.com/video/BV1pr6aYiE97/?p=79,BV1pr6aYiE97,79,,,248,https://i1.hdslb.com/bfs/storyff/n241229sa5sii3e3dx6o2ty2a65gtqn3_firsti.jpg
画心,张靓颖,https://www.bilibili.com/video/BV1pr6aYiE97/?p=80,BV1pr6aYiE97,80,,,433,https://i1.hdslb.com/bfs/storyff/n241229sa3nufk45gnimew3868e4r3no_firsti.jpg
倒带,蔡依林,https://www.bilibili.com/video/BV1pr6aYiE97/?p=81,BV1pr6aYiE97,81,,,265,https://i0.hdslb.com/bfs/storyff/n241229sahjfx6qzb51s91mrfm2ycn82_firsti.jpg
类似爱情,萧亚轩,https://www.bilibili.com/video/BV1pr6aYiE97/?p=82,BV1pr6aYiE97,82,,,285,https://i2.hdslb.com/bfs/storyff/n241229sa143t8nnt95z0p1ewr2fnkf7_firsti.jpg
下个，路口，见,李宇春,https://www.bilibili.com/video/BV1pr6aYiE97/?p=83,BV1pr6aYiE97,83,,,211,https://i1.hdslb.com/bfs/storyff/n241229saat72g4g7vmp2wulaopo655v_firsti.jpg
